DateTime,GPP (kgC m-2)
2013-01-01,0.004902971
2013-01-09,0.005638934
2013-01-17,0.007482377
2013-01-25,0.006751127
2013-02-02,0.008110246
2013-02-10,0.010028689
2013-02-18,0.008830123
2013-02-26,0.007397541
2013-03-06,0.002841496
2013-03-14,0.002807275
2013-03-22,0.003257172
2013-03-30,0.001529918
2013-04-07,0.001973975
2013-04-15,7.00E-04
2013-04-23,0.001290574
2013-05-01,0
2013-05-09,4.49E-05
2013-05-17,0
2013-05-25,1.48E-04
2013-06-02,0
2013-06-10,0.00127541
2013-06-18,0.00104918
2013-06-26,0.0013
2013-07-04,0.001703893
2013-07-12,9.15E-04
2013-07-20,0.001110963
2013-07-28,0.003058402
2013-08-05,0.001998873
2013-08-13,0.003314652
2013-08-21,0.003278381
2013-08-29,0.00368873
2013-09-06,0.003506557
2013-09-14,4.44E-04
2013-09-22,0.005688627
2013-09-30,0.003251639
2013-10-08,0.00263125
2013-10-16,0.001762295
2013-10-24,0.002900307
2013-11-01,0.003223156
2013-11-09,0.00407541
2013-11-17,0.003026025
2013-11-25,0.002843443
2013-12-03,0.003692623
2013-12-11,0.004725102
2013-12-19,0.006869467
2013-12-27,0.003498873
