Id,LotArea,OverallQual,1stFlrSF,GrLivArea,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
1,8450,7,856,1710,8,2,548,208500
2,9600,6,1262,1262,6,2,460,181500
3,11250,7,920,1786,6,2,608,223500
4,9550,7,961,1717,7,3,642,140000
5,14260,8,1145,2198,9,3,836,250000
6,14115,5,796,1362,5,2,480,143000
7,10084,8,1694,1694,7,2,636,307000
8,10382,7,1107,2090,7,2,484,200000
9,6120,7,1022,1774,8,2,468,129900
10,7420,5,1077,1077,5,1,205,118000
11,11200,5,1040,1040,5,1,384,129500
12,11924,9,1182,2324,11,3,736,345000
13,12968,5,912,912,4,1,352,144000
14,10652,7,1494,1494,7,3,840,279500
15,10920,6,1253,1253,5,1,352,157000
16,6120,7,854,854,5,2,576,132000
17,11241,6,1004,1004,5,2,480,149000
18,10791,4,1296,1296,6,2,516,90000
19,13695,5,1114,1114,6,2,576,159000
20,7560,5,1339,1339,6,1,294,139000
21,14215,8,1158,2376,9,3,853,325300
22,7449,7,1108,1108,6,1,280,139400
23,9742,8,1795,1795,7,2,534,230000
24,4224,5,1060,1060,6,2,572,129900
25,8246,5,1060,1060,6,1,270,154000
26,14230,8,1600,1600,7,3,890,256300
27,7200,5,900,900,5,2,576,134800
28,11478,8,1704,1704,7,3,772,306000
29,16321,5,1600,1600,6,1,319,207500
30,6324,4,520,520,4,1,240,68500
31,8500,4,649,1317,6,1,250,40000
32,8544,5,1228,1228,6,1,271,149350
33,11049,8,1234,1234,7,2,484,179900
34,10552,5,1700,1700,6,2,447,165500
35,7313,9,1561,1561,6,2,556,277500
36,13418,8,1132,2452,9,3,691,309000
37,10859,5,1097,1097,6,2,672,145000
38,8532,5,1297,1297,5,2,498,153000
39,7922,5,1057,1057,5,1,246,109000
40,6040,4,1152,1152,6,0,0,82000
41,8658,6,1324,1324,6,2,440,160000
42,16905,5,1328,1328,5,1,308,170000
43,9180,5,884,884,5,2,504,144000
44,9200,5,938,938,5,1,308,130250
45,7945,5,1150,1150,6,1,300,141000
46,7658,9,1752,1752,6,2,576,319900
47,12822,7,1518,2149,6,2,670,239686
48,11096,8,1656,1656,7,3,826,249700
49,4456,4,736,1452,8,0,0,113000
50,7742,5,955,955,6,1,386,127000
51,13869,6,794,1470,6,2,388,177000
52,6240,6,816,1176,6,2,528,114500
53,8472,5,816,816,5,2,516,110000
54,50271,9,1842,1842,5,3,894,385000
55,7134,5,1360,1360,6,2,572,130000
56,10175,6,1425,1425,7,2,576,180500
57,2645,8,983,1739,7,2,480,172500
58,11645,7,860,1720,7,2,565,196500
59,13682,10,1426,2945,10,3,641,438780
60,7200,5,780,780,4,1,352,124900
61,13072,6,1158,1158,5,2,576,158000
62,7200,5,581,1111,6,1,288,101000
63,6442,8,1370,1370,6,2,484,202500
64,10300,7,902,1710,9,2,480,140000
65,9375,7,1057,2034,8,2,645,219500
66,9591,8,1143,2473,9,3,852,317000
67,19900,7,2207,2207,7,2,576,180000
68,10665,7,1479,1479,7,2,558,226000
69,4608,4,747,747,4,1,220,80000
70,15593,7,1304,2287,7,2,667,225000
